Domain,Roles,Skills
Technical Writing & Documentation,"Technical Writer, API Documentation Specialist","['markdown', 'latex', 'confluence', 'notion', 'readme', 'swagger', 'postman', 'openapi', 'uml diagrams', 'flowcharts', 'version control git', 'documentation tools', 'user manuals', 'api references', 'release notes', 'tutorial writing', 'google docs', 'asciidoc', 'screen recording', 'tech blogs']"
Digital Marketing & SEO Tech,"Digital Marketing Specialist, SEO Analyst, Marketing Technologist","['seo', 'sem', 'google analytics', 'google search console', 'facebook ads', 'google ads', 'tag manager', 'ahrefs', 'semrush', 'keyword research', 'email marketing', 'mailchimp', 'crm', 'ab testing', 'content management', 'wordpress', 'html', 'css', 'data analytics', 'funnel optimization', 'meta ads', 'marketing automation']"
Product & Project Management,"Product Manager, Project Manager, Scrum Master","['agile', 'scrum', 'kanban', 'jira', 'confluence', 'notion', 'trello', 'monday.com', 'risk management', 'roadmapping', 'stakeholder communication', 'product backlog', 'gantt charts', 'burndown charts', 'user stories', 'requirement gathering', 'product analytics', 'funnel metrics', 'lean', 'mvp', 'user research', 'prioritization', 'time estimation', 'team coordination']"
,DevOps Engineer,"['docker', 'kubernetes', 'linux', 'jenkins', 'aws', 'terraform', 'ci/cd', 'bash', 'monitoring']"
,Cloud Engineer,"['aws', 'azure', 'gcp', 'cloudformation', 'terraform', 'docker', 'cloud networking', 'devops']"
,Machine Learning Engineer,"['python', 'pandas', 'scikit-learn', 'tensorflow', 'keras', 'mlops', 'deep learning', 'numpy']"
,Data Scientist,"['python', 'pandas', 'statistics', 'matplotlib', 'seaborn', 'machine learning', 'sql', 'scikit-learn']"
,Data Analyst,"['excel', 'sql', 'tableau', 'power bi', 'python', 'data cleaning', 'statistics', 'data visualization']"
,Security Analyst,"['network security', 'firewall', 'ids/ips', 'linux', 'risk assessment', 'incident response']"
,Cybersecurity Engineer,"['ethical hacking', 'penetration testing', 'kali linux', 'nmap', 'security audits', 'SIEM', 'firewall']"
,Game Developer,"['unity', 'c#', 'unreal engine', 'game physics', '3d modeling', 'animation', 'blender']"
,UI/UX Designer,"['figma', 'adobe xd', 'user research', 'prototyping', 'wireframes', 'interaction design']"
,NLP Engineer,"['nlp', 'transformers', 'bert', 'huggingface', 'text classification', 'spacy', 'tokenization']"
,Robotics Engineer,"['ros', 'c++', 'robotics', 'lidar', 'navigation', 'robot kinematics', 'python', 'control systems']"
,Embedded Systems Engineer,"['embedded c', 'microcontrollers', 'arduino', 'raspberry pi', 'iot', 'firmware', 'c++']"
,VR/AR Developer,"['unity', 'c#', 'oculus sdk', 'arcore', 'vr development', '3d modeling', 'interaction design']"
,AI Researcher,"['deep learning', 'research', 'python', 'tensorflow', 'nlp', 'reinforcement learning', 'pytorch']"
,QA Engineer,"['manual testing', 'selenium', 'test automation', 'jira', 'test cases', 'bug tracking', 'postman']"
,Technical Writer,"['technical writing', 'documentation', 'markdown', 'api docs', 'uml', 'sdks', 'editing']"
,ERP Consultant,"['sap', 'oracle erp', 'erp implementation', 'business process', 'data migration', 'sql']"
,Systems Analyst,"['requirements gathering', 'uml', 'business analysis', 'sql', 'system design', 'process modeling']"
,IT Project Manager,"['project planning', 'scrum', 'jira', 'risk management', 'communication', 'budgeting']"
,Web Security Engineer,"['owasp', 'penetration testing', 'web security', 'xss', 'sql injection', 'burp suite']"
